nct_id,outcome_bucket,title,timeframe,source,retrieved_at,request_url
NCT07227597,primaryOutcomes,Number of Participants Who Experience an Adverse Event (AE),Up to approximately 58 months,clinicaltrials.gov,2026-08-13T00:00:00Z,https://clinicaltrials.gov/api/v2/studies?filter.overallStatus=RECRUITING&format=json&pageSize=10&query.cond=lung+cancer
NCT07227597,primaryOutcomes,Number of Participants Who Experience One or More Dose-Limiting Toxicities (DLTs),Up to approximately 21 days,clinicaltrials.gov,2026-08-13T00:00:00Z,https://clinicaltrials.gov/api/v2/studies?filter.overallStatus=RECRUITING&format=json&pageSize=10&query.cond=lung+cancer
NCT07227597,primaryOutcomes,Number of Participants Who Discontinue Study Intervention Due to an AE,Up to approximately 58 months,clinicaltrials.gov,2026-08-13T00:00:00Z,https://clinicaltrials.gov/api/v2/studies?filter.overallStatus=RECRUITING&format=json&pageSize=10&query.cond=lung+cancer
NCT07227597,primaryOutcomes,Objective Response Rate (ORR),Up to approximately 58 months,clinicaltrials.gov,2026-08-13T00:00:00Z,https://clinicaltrials.gov/api/v2/studies?filter.overallStatus=RECRUITING&format=json&pageSize=10&query.cond=lung+cancer
NCT07227597,secondaryOutcomes,Disease Control Rate (DCR),Up to approximately 58 months,clinicaltrials.gov,2026-08-13T00:00:00Z,https://clinicaltrials.gov/api/v2/studies?filter.overallStatus=RECRUITING&format=json&pageSize=10&query.cond=lung+cancer
NCT07227597,secondaryOutcomes,Duration of Response (DOR),Up to approximately 58 months,clinicaltrials.gov,2026-08-13T00:00:00Z,https://clinicaltrials.gov/api/v2/studies?filter.overallStatus=RECRUITING&format=json&pageSize=10&query.cond=lung+cancer
NCT07227597,secondaryOutcomes,Progression-Free Survival (PFS),Up to approximately 58 months,clinicaltrials.gov,2026-08-13T00:00:00Z,https://clinicaltrials.gov/api/v2/studies?filter.overallStatus=RECRUITING&format=json&pageSize=10&query.cond=lung+cancer
NCT07227597,secondaryOutcomes,Overall Survival (OS),Up to approximately 58 months,clinicaltrials.gov,2026-08-13T00:00:00Z,https://clinicaltrials.gov/api/v2/studies?filter.overallStatus=RECRUITING&format=json&pageSize=10&query.cond=lung+cancer
NCT06917079,primaryOutcomes,"Incidence and severity of treatment emergent adverse events (TEAEs), serious adverse events (SAEs), and dose-limiting toxicities (DLTs)",approximately 5 years,clinicaltrials.gov,2026-08-13T00:00:00Z,https://clinicaltrials.gov/api/v2/studies?filter.overallStatus=RECRUITING&format=json&pageSize=10&query.cond=lung+cancer
NCT06917079,secondaryOutcomes,Objective response rate (ORR) per RECIST v1.1 and CNS RECIST,approximately 5 years,clinicaltrials.gov,2026-08-13T00:00:00Z,https://clinicaltrials.gov/api/v2/studies?filter.overallStatus=RECRUITING&format=json&pageSize=10&query.cond=lung+cancer
NCT06917079,secondaryOutcomes,Clinical benefit rate (CBR) per RECIST v1.1,approximately 5 years,clinicaltrials.gov,2026-08-13T00:00:00Z,https://clinicaltrials.gov/api/v2/studies?filter.overallStatus=RECRUITING&format=json&pageSize=10&query.cond=lung+cancer
NCT06917079,secondaryOutcomes,Duration of Response (DOR) per RECIST v1.1,approximately 5 years,clinicaltrials.gov,2026-08-13T00:00:00Z,https://clinicaltrials.gov/api/v2/studies?filter.overallStatus=RECRUITING&format=json&pageSize=10&query.cond=lung+cancer
NCT06917079,secondaryOutcomes,Progression-Free Survival (PFS) per RECIST v1.1,approximately 5 years,clinicaltrials.gov,2026-08-13T00:00:00Z,https://clinicaltrials.gov/api/v2/studies?filter.overallStatus=RECRUITING&format=json&pageSize=10&query.cond=lung+cancer
NCT06917079,secondaryOutcomes,Overall Survival (OS),approximately 5 years,clinicaltrials.gov,2026-08-13T00:00:00Z,https://clinicaltrials.gov/api/v2/studies?filter.overallStatus=RECRUITING&format=json&pageSize=10&query.cond=lung+cancer
NCT05977803,primaryOutcomes,"Visually significant hyperperfusion on normalized cerebral blood flow mapping generated from T2* infusion data with injection, confirmed by quantitative measurement of a ratio > 2.5 between tumor DSC and contralateral white matter.",24 months,clinicaltrials.gov,2026-08-13T00:00:00Z,https://clinicaltrials.gov/api/v2/studies?filter.overallStatus=RECRUITING&format=json&pageSize=10&query.cond=lung+cancer
