nct_id,title,parameter,unit,timeframe,group,value,provenance_source,provenance_retrieved_at,provenance_request_url
NCT02236000,Number of Evaluable Patients With Dose Limiting Toxicity Events in Phase 1,COUNT_OF_PARTICIPANTS,Participants,"Day 1, 8, and 15 of cycle 1.",Phase 1 Neratinib 120mg; T-DM1 3.6mg/kg,1.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT02236000,Number of Evaluable Patients With Dose Limiting Toxicity Events in Phase 1,COUNT_OF_PARTICIPANTS,Participants,"Day 1, 8, and 15 of cycle 1.",Phase 1 Neratinib 160mg; T-DM1 3.6mg/kg,0.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT02236000,Number of Evaluable Patients With Dose Limiting Toxicity Events in Phase 1,COUNT_OF_PARTICIPANTS,Participants,"Day 1, 8, and 15 of cycle 1.",Phase 1 Neratinib 200mg; T-DM1 3.6mg/kg,4.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT02236000,Number of Evaluable Patients With Dose Limiting Toxicity Events in Phase 1,COUNT_OF_PARTICIPANTS,Participants,"Day 1, 8, and 15 of cycle 1.",Phase 1 Neratinib 240mg; T-DM1 3.6mg/kg,2.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT02236000,Number of Evaluable Patients With Dose Limiting Toxicity Events in Phase 1,COUNT_OF_PARTICIPANTS,Participants,"Day 1, 8, and 15 of cycle 1.",Neratinib and T-DM1,7.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT02236000,Overall Response Rate (ORR) by Measurement of Target Lesions in Phase II,NUMBER,percentage of participants,"Every 42 days after the start of protocol therapy through disease progression, approximately 2 years",Neratinib and T-DM1,31.8,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT02236000,Progression-free Survival (PFS) Time From Start of Study Therapy to Disease Progression or Death From Any Cause,MEDIAN,weeks,"Every 42 days after the start of protocol therapy through disease progression, approximately 2 years",Phase 1 Neratinib 120mg; T-DM1 3.6mg/kg,40.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT02236000,Progression-free Survival (PFS) Time From Start of Study Therapy to Disease Progression or Death From Any Cause,MEDIAN,weeks,"Every 42 days after the start of protocol therapy through disease progression, approximately 2 years",Phase 1 Neratinib 160mg; T-DM1 3.6mg/kg,15.4,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT02236000,Progression-free Survival (PFS) Time From Start of Study Therapy to Disease Progression or Death From Any Cause,MEDIAN,weeks,"Every 42 days after the start of protocol therapy through disease progression, approximately 2 years",Phase 1 Neratinib 200mg; T-DM1 3.6mg/kg,8.86,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT02236000,Progression-free Survival (PFS) Time From Start of Study Therapy to Disease Progression or Death From Any Cause,MEDIAN,weeks,"Every 42 days after the start of protocol therapy through disease progression, approximately 2 years",Phase 1 Neratinib 240mg; T-DM1 3.6mg/kg,9.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT02236000,Progression-free Survival (PFS) Time From Start of Study Therapy to Disease Progression or Death From Any Cause,MEDIAN,weeks,"Every 42 days after the start of protocol therapy through disease progression, approximately 2 years",Neratinib and T-DM1 Part 1 (Phase I),22.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT02236000,Progression-free Survival (PFS) Time From Start of Study Therapy to Disease Progression or Death From Any Cause,MEDIAN,weeks,"Every 42 days after the start of protocol therapy through disease progression, approximately 2 years",Neratinib and T-DM1 Part 2 (Phase II),27.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT02236000,Adverse Events Experienced by Participants as a Measure of Toxicity,COUNT_OF_PARTICIPANTS,Participants,"Day 1, 8, 15 of cycle one, day 1 of each subsequent cycle, at the end of protocol therapy and 30 days following the end of protocol therapy. Duration of therapy varied across patients from a few days to a couple of years.",Phase 1 Neratinib 120mg; T-DM1 3.6mg/kg,1.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT02236000,Adverse Events Experienced by Participants as a Measure of Toxicity,COUNT_OF_PARTICIPANTS,Participants,"Day 1, 8, 15 of cycle one, day 1 of each subsequent cycle, at the end of protocol therapy and 30 days following the end of protocol therapy. Duration of therapy varied across patients from a few days to a couple of years.",Phase 1 Neratinib 160mg; T-DM1 3.6mg/kg,3.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT02236000,Adverse Events Experienced by Participants as a Measure of Toxicity,COUNT_OF_PARTICIPANTS,Participants,"Day 1, 8, 15 of cycle one, day 1 of each subsequent cycle, at the end of protocol therapy and 30 days following the end of protocol therapy. Duration of therapy varied across patients from a few days to a couple of years.",Phase 1 Neratinib 200mg; T-DM1 3.6mg/kg,3.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT02236000,Adverse Events Experienced by Participants as a Measure of Toxicity,COUNT_OF_PARTICIPANTS,Participants,"Day 1, 8, 15 of cycle one, day 1 of each subsequent cycle, at the end of protocol therapy and 30 days following the end of protocol therapy. Duration of therapy varied across patients from a few days to a couple of years.",Phase 1 Neratinib 240mg; T-DM1 3.6mg/kg,0.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT02236000,Adverse Events Experienced by Participants as a Measure of Toxicity,COUNT_OF_PARTICIPANTS,Participants,"Day 1, 8, 15 of cycle one, day 1 of each subsequent cycle, at the end of protocol therapy and 30 days following the end of protocol therapy. Duration of therapy varied across patients from a few days to a couple of years.",Neratinib and T-DM-1 Part 2 (Phase 2),10.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT02236000,Clinical Benefit Rate (Phase II),COUNT_OF_PARTICIPANTS,Participants,Every 63 days after the start of study therapy until disease progression or until 30 days following the end of protocol therapy if due to another cause. Duration of therapy varied across patients from a few days to a couple of years.,Neratinib and T-DM1,12.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT01039207,Proportion of Patients With Objective Tumor Response Rate (Complete Response [CR] or Partial Response [PR]) Using RECIST Version 1.1,NUMBER,participants,CT scan or MRI if used to follow lesion for measurable disease every other cycle during treatment then every 3 months thereafter until disease progression is confirmed; also repeat at any time if clinically indicated up to 5 years.,AMG 102,0.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT01039207,Proportion of Patients With Objective Tumor Response Rate (Complete Response [CR] or Partial Response [PR]) Using RECIST Version 1.1,NUMBER,participants,CT scan or MRI if used to follow lesion for measurable disease every other cycle during treatment then every 3 months thereafter until disease progression is confirmed; also repeat at any time if clinically indicated up to 5 years.,AMG 102,1.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT01039207,Progression-free Survival > 6 Months Using RECIST 1.0,NUMBER,participants,CT scan or MRI if used to follow lesion for measurable disease every other cycle during treatment then every 3 months thereafter until disease progression is confirmed; up to 6 months.,AMG 102,2.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT01039207,Progression-free Survival > 6 Months Using RECIST 1.0,NUMBER,participants,CT scan or MRI if used to follow lesion for measurable disease every other cycle during treatment then every 3 months thereafter until disease progression is confirmed; up to 6 months.,AMG 102,29.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT01039207,Incidence of Adverse Effects (Grade 3 or Higher) as Assessed by Common Terminology Criteria for Adverse Events Version 4.0,NUMBER,participants,"Assessed every cycle while on treatment, 30 days after the last cycle of treatment",AMG 102,1.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT01039207,Incidence of Adverse Effects (Grade 3 or Higher) as Assessed by Common Terminology Criteria for Adverse Events Version 4.0,NUMBER,participants,"Assessed every cycle while on treatment, 30 days after the last cycle of treatment",AMG 102,1.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT01039207,Incidence of Adverse Effects (Grade 3 or Higher) as Assessed by Common Terminology Criteria for Adverse Events Version 4.0,NUMBER,participants,"Assessed every cycle while on treatment, 30 days after the last cycle of treatment",AMG 102,1.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT01039207,Incidence of Adverse Effects (Grade 3 or Higher) as Assessed by Common Terminology Criteria for Adverse Events Version 4.0,NUMBER,participants,"Assessed every cycle while on treatment, 30 days after the last cycle of treatment",AMG 102,2.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT01039207,Incidence of Adverse Effects (Grade 3 or Higher) as Assessed by Common Terminology Criteria for Adverse Events Version 4.0,NUMBER,participants,"Assessed every cycle while on treatment, 30 days after the last cycle of treatment",AMG 102,4.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT01039207,Incidence of Adverse Effects (Grade 3 or Higher) as Assessed by Common Terminology Criteria for Adverse Events Version 4.0,NUMBER,participants,"Assessed every cycle while on treatment, 30 days after the last cycle of treatment",AMG 102,7.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT01039207,Incidence of Adverse Effects (Grade 3 or Higher) as Assessed by Common Terminology Criteria for Adverse Events Version 4.0,NUMBER,participants,"Assessed every cycle while on treatment, 30 days after the last cycle of treatment",AMG 102,4.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT01039207,Incidence of Adverse Effects (Grade 3 or Higher) as Assessed by Common Terminology Criteria for Adverse Events Version 4.0,NUMBER,participants,"Assessed every cycle while on treatment, 30 days after the last cycle of treatment",AMG 102,1.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT01039207,Incidence of Adverse Effects (Grade 3 or Higher) as Assessed by Common Terminology Criteria for Adverse Events Version 4.0,NUMBER,participants,"Assessed every cycle while on treatment, 30 days after the last cycle of treatment",AMG 102,2.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT01039207,Incidence of Adverse Effects (Grade 3 or Higher) as Assessed by Common Terminology Criteria for Adverse Events Version 4.0,NUMBER,participants,"Assessed every cycle while on treatment, 30 days after the last cycle of treatment",AMG 102,5.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT01039207,Incidence of Adverse Effects (Grade 3 or Higher) as Assessed by Common Terminology Criteria for Adverse Events Version 4.0,NUMBER,participants,"Assessed every cycle while on treatment, 30 days after the last cycle of treatment",AMG 102,1.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT01039207,Incidence of Adverse Effects (Grade 3 or Higher) as Assessed by Common Terminology Criteria for Adverse Events Version 4.0,NUMBER,participants,"Assessed every cycle while on treatment, 30 days after the last cycle of treatment",AMG 102,1.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT01039207,Incidence of Adverse Effects (Grade 3 or Higher) as Assessed by Common Terminology Criteria for Adverse Events Version 4.0,NUMBER,participants,"Assessed every cycle while on treatment, 30 days after the last cycle of treatment",AMG 102,2.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT01039207,Duration of Overall Survival (OS),NUMBER,months,"Every cycle during treatment, then every 3 months for the first 2 years, then every six months for the next three years and then annually for the next 5 years.",AMG 102,4.3,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT01039207,Duration of Progression-free Survival (PFS),MEDIAN,months,CT scan or MRI if used to follow lesion for measurable disease every other cycle during treatment then every 3 months thereafter until disease progression is confirmed; also repeat at any time if clinically indicated up to 5 years.,AMG 102,1.8,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT00390611,2-year Progression-free Survival,NUMBER,percentage of participants,2 years,Paclitaxel/Carboplatin/Sorafenib,40.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT00390611,2-year Progression-free Survival,NUMBER,percentage of participants,2 years,Paclitaxel/Carboplatin,40.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT00390611,Overall Response Rate (ORR),NUMBER,participants,18 months,Paclitaxel/Carboplatin/Sorafenib,29.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT00390611,Overall Response Rate (ORR),NUMBER,participants,18 months,Paclitaxel/Carboplatin,31.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT00390611,Overall Survival (OS),MEDIAN,months,18 months,Paclitaxel/Carboplatin/Sorafenib,36.5,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT00390611,Overall Survival (OS),MEDIAN,months,18 months,Paclitaxel/Carboplatin,,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT00390611,Toxicity of Paclitaxel/Carboplatin vs. Paclitaxel/Carboplatin/Sorafenib,NUMBER,participants,18 months,Paclitaxel/Carboplatin/Sorafenib,28.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
NCT00390611,Toxicity of Paclitaxel/Carboplatin vs. Paclitaxel/Carboplatin/Sorafenib,NUMBER,participants,18 months,Paclitaxel/Carboplatin,33.0,clinicaltrials.gov,2026-08-14T13:02:43Z,https://clinicaltrials.gov/api/v2/studies?pageSize=10&format=json&query.cond=cancer&filter.overallStatus=COMPLETED&filter.advanced=AREA%5BHasResults%5Dtrue
